,mean,std
Angle20,0.002972408115011915,0.000391525230254192
Coherency20,0.004456501087208908,0.0006500943160642169
Energy20,0.06852055141548269,0.0007737962830178676
MeanInt20,0.0014133716143469254,0.0002535258767319435
VarInt20,0.0031919609871434718,0.0003432770122294963
Density20,0.0015854250670269353,0.0003654312451451483
VarDensity20,0.00015622031286282033,0.00025957766234031414
OrientationRef20,0.0022884164749097493,0.00034245161499857417
Angle60,0.0068948046190546175,0.0003775479981609642
Coherency60,0.012475458633283355,0.0003318653635623228
Energy60,0.03840697502586077,0.0007027441201638427
MeanInt60,0.0071745234224914745,0.0002018295820017211
VarInt60,0.004216892904642266,0.00021960615027230795
Density60,0.012340349173510078,0.0004138871449455003
VarDensity60,0.004087061158141369,0.00045200895134238936
OrientationRef60,0.007103802064641407,0.00027268979723594946
Angle100,0.00963077117946336,0.00047413020942130844
Coherency100,0.02150140387173044,0.0005796841908313681
Energy100,0.03206527475775296,0.0007198738994618303
MeanInt100,0.012632734488800678,0.0005033023958679059
VarInt100,0.009226498342798007,0.00026571386386621185
Density100,0.004385779729358863,0.00038061790901438604
VarDensity100,0.0034115138592750393,0.00033690831544591035
OrientationRef100,0.009053389347463515,0.0005495120996266364
Angle140,0.01251768033946249,0.00044534519209047237
Coherency140,0.02789799235787116,0.0006305928785173457
Energy140,0.04842407481686336,0.0007654278312335341
MeanInt140,0.014263547889970219,0.0005131511685563952
VarInt140,0.016460132153940342,0.0006092264484514545
Density140,0.015266313411724963,0.0005150366764656625
VarDensity140,0.008654394224070583,0.0004699820708255725
OrientationRef140,0.013096117714116829,0.0002690308840282575
Dist,0.049776224957250495,0.0005912744451338927
