,mean,std
Angle20,0.006395388850474261,0.0034647611718841257
Coherency20,0.017632358928323166,0.010964324462302394
Energy20,0.10579063927287204,0.03452377023618225
MeanInt20,0.003655706891259399,0.0015695623463691864
VarInt20,0.008057424487779711,0.004476937736118784
Density20,0.0017444802158636202,0.0009684802839949893
VarDensity20,0.0011277537441940425,0.0005105593758052906
OrientationRef20,0.004729591094201819,0.001760186404600527
Angle60,0.008537985453006845,0.002385758819062756
Coherency60,0.027408099894527152,0.016134495983695277
Energy60,0.08479890611841429,0.02635181125213357
MeanInt60,0.02037340139756992,0.01154042230960882
VarInt60,0.010394740538454515,0.005920099958711205
Density60,0.019607322717973826,0.03268830050556151
VarDensity60,0.001683633456458588,0.0011581314510324503
OrientationRef60,0.008081733299592801,0.003189251727628782
Angle100,0.01576052117098535,0.005403562458495823
Coherency100,0.04436891132117396,0.02818537000175261
Energy100,0.06707112803637502,0.029422967447216807
MeanInt100,0.03393745718167727,0.039064977767580694
VarInt100,0.02007767721733883,0.008393338338681448
Density100,0.025633506810874288,0.04244765151850427
VarDensity100,0.03305313133927829,0.043491049054997906
OrientationRef100,0.018062624768848536,0.007239124370378018
Angle140,0.017687602103391705,0.00432593429670877
Coherency140,0.06753646671307231,0.029769874562943815
Energy140,0.058848500051706595,0.01681001408868811
MeanInt140,0.04613712481419843,0.023645562752597413
VarInt140,0.04525736413382748,0.018431446966486825
Density140,0.06436951515759146,0.054988428705091526
VarDensity140,0.008107657316205311,0.005315842854299493
OrientationRef140,0.018390724418785927,0.007843792340407845
Dist,0.08568092108370334,0.021755869157687395
