,mean,std
Angle20,0.0009293126913915706,0.000188486898657381
Coherency20,0.003994768628785239,0.0003021699547364159
Energy20,0.039731839060905015,0.0012646325211178916
MeanInt20,7.974651241915431e-05,6.627442175165713e-05
VarInt20,0.0009792871725076036,0.0002571945569747335
Density20,9.782238856749226e-05,0.00013991820474306118
VarDensity20,2.4455597141848083e-05,5.940148742539762e-05
OrientationRef20,0.0007581235113983786,0.00013348802885740902
Angle60,0.0013567539979584375,0.00029943184217130954
Coherency60,0.005869343314052355,0.0006392644560191796
Energy60,0.04774370534195299,0.000690249253905707
MeanInt60,0.0011972609731200512,0.0003520812286353284
VarInt60,0.0015789809458999105,0.00014503247982677528
Density60,0.0014843484178291622,0.0003198779636795468
VarDensity60,0.00015842973800608284,0.00011700504156034403
OrientationRef60,0.0016778666212997396,0.00017209487075693102
Angle100,0.00533451003742762,0.0003595434891534607
Coherency100,0.0065530367471928865,0.0002559431017418815
Energy100,0.02109242089145965,0.0005587276376164509
MeanInt100,0.0040309203810819485,0.0004078214432605449
VarInt100,0.0033068220483157052,0.00029524165058087125
Density100,0.004421146648519869,0.00045752974167969864
VarDensity100,0.006329746512419155,0.0003125068557551787
OrientationRef100,0.004475374276964883,0.0003401005666217834
Angle140,0.0038724906430758323,0.0002227224265189114
Coherency140,0.01773349778836334,0.00045400729121959014
Energy140,0.017455979925144572,0.0005822900814754966
MeanInt140,0.01678291936032661,0.0008309598499074053
VarInt140,0.023239197005784216,0.000390682316144633
Density140,0.016679780537597767,0.0005584240318701704
VarDensity140,0.0014971078598162268,0.00025196981568196625
OrientationRef140,0.0038203895882952922,0.00017671366516412818
Dist,0.030995874447090798,0.0004186285976800149
