,mean,std
Coherency20,0.02652684691585966,0.005696112588917737
Energy20,0.08508655692376663,0.021256797565950065
MeanInt20,0.012644202234406727,0.001568587484605046
VarInt20,0.017429193065567332,0.0023803861642069974
Density20,0.006899303397042453,0.001270438613322228
VarDensity20,0.006214875682503845,0.0006869759466150624
OrientationRef20,0.0169650255346454,0.0024064794639934287
Coherency60,0.03313336924678339,0.009792449459644383
Energy60,0.08598445340570518,0.016209848017391226
MeanInt60,0.025434005466306968,0.011837099443801803
VarInt60,0.026986005235372545,0.009462916497918201
Density60,0.02235126606306296,0.0215875463539538
VarDensity60,0.010980468410847601,0.00736420128396005
OrientationRef60,0.024139959844233016,0.0021665566834246845
Coherency100,0.04530518410022746,0.013458245952869239
Energy100,0.07302989622814704,0.015067770833699541
MeanInt100,0.03278913508809325,0.012662805188675309
VarInt100,0.04079315599110242,0.01496080465139462
Density100,0.039292144158048284,0.028529556369687167
VarDensity100,0.016745825818149575,0.016789280355252893
OrientationRef100,0.030930852334565904,0.003928812014820093
Coherency140,0.06551583538207284,0.014280936745487739
Energy140,0.07210838858038879,0.00884585944681804
MeanInt140,0.03801414609626227,0.006795166869598997
VarInt140,0.04284364236180081,0.009724658428156696
Density140,0.045322492831350814,0.02314698768381917
VarDensity140,0.018438766532148373,0.003514272176955691
OrientationRef140,0.03809500307153849,0.00563427528313741
