,mean,std
Coherency20,0.01025565243091473,0.0004977910509274355
Energy20,0.057792015875361515,0.00038967827164601923
MeanInt20,0.0013257615740252082,0.00035136096171054746
VarInt20,0.0032457936625219118,0.0005110232917323212
Density20,0.0010597648250965873,0.00026953359705761176
VarDensity20,0.00040955054993772053,0.00026103294540526445
OrientationRef20,0.002849965167092394,0.00036256007978555343
Coherency60,0.012700289218687311,0.0005569585594734568
Energy60,0.06611919187654372,0.000655644098105383
MeanInt60,0.007314910595537172,0.00018566752257843493
VarInt60,0.0056893749076400435,0.0005326465282218021
Density60,0.00449450062277017,0.0004687084831432917
VarDensity60,0.0013933163039118624,0.0002652333170117509
OrientationRef60,0.006526420232641605,0.00045125034887739306
Coherency100,0.018160611370305512,0.0007141469609812782
Energy100,0.03993751187485487,0.000918603544312436
MeanInt100,0.015315923916485475,0.0006409499756835003
VarInt100,0.0164970761468471,0.00042478084369895964
Density100,0.01316156135869453,0.0002904737549283195
VarDensity100,0.004039561738689879,0.0003167349168788607
OrientationRef100,0.013491946209546347,0.0006023588977731935
Coherency140,0.0402678967257067,0.000860632416612654
Energy140,0.052026641896599043,0.0006350727447074197
MeanInt140,0.017727838881969216,0.0004713266853819098
VarInt140,0.02189934345246892,0.0004889806331218625
Density140,0.023916485465177672,0.0009742698726750397
VarDensity140,0.007572463003229968,0.0005635688432611358
OrientationRef140,0.01818805547932193,0.0006786318423439576
