,mean,std
Coherency20,0.026277247817465967,0.005980834278456112
Energy20,0.08051615699697064,0.014358916025839802
MeanInt20,0.0147794561883035,0.0035714672859389783
VarInt20,0.02002343522123063,0.0045918281332752164
Density20,0.008056147393969995,0.0034529149227489815
VarDensity20,0.007250380324488063,0.001329758817667087
OrientationRef20,0.017565338390585536,0.0023050134029091954
Coherency60,0.032854640992945244,0.010225634389229868
Energy60,0.08278076000169858,0.017936514293773586
MeanInt60,0.02163825202143339,0.012379363723874496
VarInt60,0.024635253922939672,0.006691597834553835
Density60,0.019432228939426366,0.019045554879741893
VarDensity60,0.012577447692291702,0.013741953285047181
OrientationRef60,0.02539298432258463,0.0034318288476964907
Coherency100,0.046005628928262335,0.01573089764416625
Energy100,0.07102913740047077,0.013504180569018474
MeanInt100,0.030798272753269025,0.01657330802884341
VarInt100,0.03216602885419388,0.009920120747638234
Density100,0.03437685388376028,0.026572854970576466
VarDensity100,0.015256876910286973,0.013744023201830475
OrientationRef100,0.03078290295504746,0.0036899615607089344
Coherency140,0.06671123533070354,0.018614833231226764
Energy140,0.07621175253373985,0.010418294631387371
MeanInt140,0.049454712827557305,0.0120698296050789
VarInt140,0.044671511775055094,0.014152189149061953
Density140,0.04497967767826389,0.027152895179573026
VarDensity140,0.02728648233296205,0.019821498159699663
OrientationRef140,0.03648919561009345,0.003859388460587961
