,mean,std
Coherency20,0.008284067710105458,0.0004760735437178285
Energy20,0.05560033174549165,0.0012965077145116824
MeanInt20,0.0015885505273902645,0.00026227646070531334
VarInt20,0.0026199387546784413,0.0002909678150976153
Density20,1.3822728819323781e-05,0.00011935838706709195
VarDensity20,-0.00019670806396734352,0.0001981397281556523
OrientationRef20,0.002029814562776444,0.00023437938811244198
Coherency60,0.010049123851650221,0.0003288101708386741
Energy60,0.0500744300782579,0.000648155093621923
MeanInt60,0.002988899285471247,0.0002224506851719987
VarInt60,0.003527985709424963,0.0001936116566709725
Density60,0.0018809544062606265,0.00038438811668407375
VarDensity60,0.0013546274242939639,0.00041271968396081954
OrientationRef60,0.005093143926505605,0.00033808508624499336
Coherency100,0.012313924804355215,0.00030438431179009216
Energy100,0.02600161619598501,0.0003909715947810835
MeanInt100,0.004952790064647827,0.0006203948373379333
VarInt100,0.00506230860837017,0.00036693256758046515
Density100,0.0052834722694793945,0.000496327213893092
VarDensity100,0.0009186798230690574,0.0001742103890703317
OrientationRef100,0.008413788703640679,0.00043062591623243185
Coherency140,0.03337976352500849,0.0002824843154391861
Energy140,0.03655048485879551,0.0005576582122869576
MeanInt140,0.02351033514800952,0.0006651698407943719
VarInt140,0.020526752296699556,0.000284128466494592
Density140,0.013972652262674367,0.00043575175685442224
VarDensity140,0.003270670296019018,0.0003794965889494179
OrientationRef140,0.01216825450833614,0.00046228405083769623
