,mean,std
Angle20,0.014346276806937097,0.002613044771998763
Coherency20,0.02056000302584516,0.004618667943677214
Energy20,0.08004987849412233,0.01417364755586253
MeanInt20,0.011232140160350781,0.004073334410580223
VarInt20,0.01823808365415174,0.006525117847117163
Density20,0.005662606843952252,0.001821184672250084
VarDensity20,0.004572158137505422,0.0011995420011162877
OrientationRef20,0.013373798417596663,0.002888061115568585
Angle60,0.01850403341886561,0.003308243244668425
Coherency60,0.025024719528738533,0.006778942121893365
Energy60,0.07435834713248098,0.022365181364526292
MeanInt60,0.014894714388050005,0.004336242284769956
VarInt60,0.022738895797111587,0.011123090353937307
Density60,0.013546101219113706,0.012280990939474448
VarDensity60,0.00917086683847445,0.007454313837113323
OrientationRef60,0.02119980141250825,0.004889085278057636
Angle100,0.024251397903518483,0.0033384078275844227
Coherency100,0.03717893171533683,0.011111811140587893
Energy100,0.06281685399675252,0.024113626006583292
MeanInt100,0.025021614155813287,0.01123646218887991
VarInt100,0.042037503699295375,0.01627226535658734
Density100,0.023848752444949054,0.018482110794274344
VarDensity100,0.01816067350963652,0.015877189087991246
OrientationRef100,0.029140922180333883,0.006541075241582802
Angle140,0.027312104981176023,0.004600709934130953
Coherency140,0.04969000038317267,0.01238320640360176
Energy140,0.07078952750633667,0.017356459524223114
MeanInt140,0.030951130145113033,0.01043737199190333
VarInt140,0.046496120692705804,0.017715115159785598
Density140,0.03553814046931802,0.023674574222351027
VarDensity140,0.02060469408060315,0.013292920035197648
OrientationRef140,0.03209011470104771,0.005670499055522444
Dist,0.05659909215908658,0.008632390030570947
