,mean,std
Angle20,0.0015738140978277305,0.00022052759288794546
Coherency20,0.00337668095167728,0.0005337634045834839
Energy20,0.03081973442546816,0.0009799711667985538
MeanInt20,0.0019643648799848256,0.0003090217174414706
VarInt20,0.00037577318499442124,0.00043825236132433116
Density20,-0.00011083197872022721,0.0002748974359413282
VarDensity20,0.00024066372522117961,0.00018378570857407092
OrientationRef20,0.0007441575714074889,0.0002626265640376498
Angle60,0.003385125292913127,0.00031500654069517554
Coherency60,0.0014313158394731018,0.00047073415537336396
Energy60,0.028263210116320825,0.0008165316659278032
MeanInt60,-0.0014957039413962647,0.00034099256033046224
VarInt60,-0.0060208153011462985,0.0004460638833597328
Density60,-0.002048808292343074,0.00025736415813522225
VarDensity60,-0.0013964829318752537,0.00014641636060991556
OrientationRef60,0.002930186408832791,0.0004046791404342232
Angle100,0.004339335852561832,0.00023633079092513727
Coherency100,0.002006586586163983,0.00046365724876435305
Energy100,0.006240368173277911,0.00038226969441300965
MeanInt100,-0.004264392324093802,0.00035416562772072233
VarInt100,-0.0033566256412421503,0.0008258769711358905
Density100,-0.0010397095146614688,0.0004556289941332012
VarDensity100,-0.0016645907661128278,0.000320302848836716
OrientationRef100,0.006280478794148114,0.0006423911534408573
Angle140,0.005838206421921543,0.00040693736230353863
Coherency140,0.009437606873693794,0.0006679250061349489
Energy140,0.024624754586332863,0.0006059669876260133
MeanInt140,-0.005426544786674803,0.0005231797992148637
VarInt140,0.0002913297726361286,0.00043011776588901116
Density140,-0.004972661445248982,0.0004014241343726888
VarDensity140,-0.004347780193797601,0.0005120731049935254
OrientationRef140,0.007780404906162264,0.0003910482820274592
Dist,0.01645274335535899,0.0005122384393450105
