,mean,std
Angle20,0.006571308113995113,0.002588863434294421
Coherency20,0.011993717230783624,0.007115251573458033
Energy20,0.09748380602706334,0.02923526753307383
MeanInt20,0.0043957837098889925,0.0030017823027071143
VarInt20,0.014028077938419738,0.009946613025493507
Density20,0.0026853473435533774,0.005050294161886772
VarDensity20,0.0007755547888747309,0.0008081522554887267
OrientationRef20,0.005642053260386767,0.002287860379885808
Angle60,0.012171757451725806,0.0067684465293652235
Coherency60,0.02671480284958438,0.014192907016373307
Energy60,0.0800761951635056,0.03742198411710172
MeanInt60,0.011396204771007733,0.007713328444263658
VarInt60,0.024540718547779304,0.018028496367427507
Density60,0.007741511742521816,0.016368399746322135
VarDensity60,0.010538484260740555,0.017913077200009283
OrientationRef60,0.011801091132647875,0.00894123465425625
Angle100,0.019753437160167368,0.007787649107907511
Coherency100,0.03797030530376393,0.025341953615898544
Energy100,0.06271229463554864,0.03738797737155086
MeanInt100,0.025279992791233934,0.0183038106831089
VarInt100,0.03978570528458467,0.030661100837150523
Density100,0.0297456686055308,0.03075939542934084
VarDensity100,0.011353490637583731,0.01614078862583841
OrientationRef100,0.02691439817340683,0.01142488027463076
Angle140,0.0185768251764372,0.00555358120185423
Coherency140,0.05111359269157638,0.023254471932816257
Energy140,0.10186895400030606,0.027667733665587058
MeanInt140,0.03533824572368314,0.021928355041797253
VarInt140,0.046202837500487114,0.018280712588281706
Density140,0.03693596250891511,0.03875251525770674
VarDensity140,0.04423557865409843,0.04148236644054004
OrientationRef140,0.03338705323050351,0.017142085564797346
Dist,0.050269243589694465,0.017863278815817535
