,mean,std
Angle20,0.0008346801633209111,0.00017473203158252664
Coherency20,0.004393501190881288,0.0005102624770742409
Energy20,0.026012249064307637,0.0008049046204947421
MeanInt20,0.002180801292956824,0.00014045451580700454
VarInt20,0.004481753997958538,0.00039477163875832936
Density20,0.0003668339571283208,0.00016336252520988685
VarDensity20,0.00038278325961216275,7.274001095817396e-05
OrientationRef20,0.0006560479755019055,0.0002424224023453136
Angle60,0.003517352841102461,0.00031798498926169323
Coherency60,0.005885292616536286,0.0003521149438947536
Energy60,0.015466570261993917,0.0008245677981644386
MeanInt60,-2.4455597141836984e-05,0.00045528174116738775
VarInt60,0.0020936117727118455,0.0005163995658894394
Density60,0.001657664171486939,0.00023200372898309437
VarDensity60,-0.0014418169445389207,0.00028028047279356563
OrientationRef60,-7.868322558689523e-05,0.000274369212294681
Angle100,0.00404686968356589,0.00030232518848597785
Coherency100,9.888567539984017e-05,0.0004946067026317996
Energy100,0.003002722014290626,0.0007041688795030257
MeanInt100,-0.006794402858114968,0.00040152278811881215
VarInt100,-0.00146733582851305,0.0004821744937842349
Density100,-0.005999064307587565,0.0004964490660600361
VarDensity100,0.000318986049676806,0.0002849132572085374
OrientationRef100,0.0025646478394011907,0.0005182211754227355
Angle140,0.003909705682204889,0.0003134099939979813
Coherency140,0.002432800272201474,0.0005878120425166833
Energy140,0.03228564137461727,0.0005270986417800064
MeanInt140,-0.014204448792106117,0.00040584838001728245
VarInt140,0.0011185777475332225,0.0005063925167110325
Density140,-0.01047869173188153,0.00045741729508482024
VarDensity140,-0.005755571623000955,0.00023203296578011096
OrientationRef140,0.005670508676420605,0.0005885280610123387
Dist,0.004275476352500885,0.0004523520114873453
