,mean,std
Coherency20,0.025100387831469673,0.003231781538472948
Energy20,0.09087756379920629,0.010557579828391776
MeanInt20,0.013866679259137139,0.002989221110396807
VarInt20,0.02405508092354872,0.006712411591798526
Density20,0.0069871084669622325,0.0014713638400204797
VarDensity20,0.0064153279285029275,0.001383686135488379
OrientationRef20,0.015922393571710033,0.0030336195205980312
Coherency60,0.03453763424385196,0.008848522356045068
Energy60,0.08621285905924896,0.02167499457228446
MeanInt60,0.020081209812191546,0.007041091097847626
VarInt60,0.03113548741762484,0.01377455315680186
Density60,0.01568798862202949,0.010486640099468768
VarDensity60,0.00803399911061014,0.0012348712802301269
OrientationRef60,0.024138492217919243,0.006103851028596059
Coherency100,0.038496058362291606,0.007442348140390113
Energy100,0.08010078799102002,0.018559109846192103
MeanInt100,0.025887489637966506,0.0057183971294011435
VarInt100,0.03402596165087332,0.011629941637839597
Density100,0.023036494584482356,0.016954288024191997
VarDensity100,0.02485008399237482,0.019645900637433145
OrientationRef100,0.02856431062691685,0.0038395329849581733
Coherency140,0.05585104052293298,0.012903924840184168
Energy140,0.07631003356513665,0.01789762566596146
MeanInt140,0.03872855918693478,0.010887683886448243
VarInt140,0.05628454209763365,0.019760027878117977
Density140,0.037846392260015425,0.0239099454672006
VarDensity140,0.0329906972718126,0.022649709913374234
OrientationRef140,0.04397533598559523,0.007494305814832541
