,mean,std
Coherency20,0.02339598594397931,0.0027502603865503777
Energy20,0.09057979535523686,0.01677449932266332
MeanInt20,0.012205923484415338,0.002025878532539272
VarInt20,0.0213474912597776,0.005350483971898553
Density20,0.007111307540076868,0.0009449652875165472
VarDensity20,0.006358419281017207,0.0009627479229419036
OrientationRef20,0.015811392277031034,0.00327006142214587
Coherency60,0.03201635369446569,0.007027375823058839
Energy60,0.0903285717951717,0.024219816900384588
MeanInt60,0.018535775127687865,0.004879454132626213
VarInt60,0.029134282797994134,0.014423450182644768
Density60,0.013885452916398356,0.008721380375893472
VarDensity60,0.013835718775175027,0.01452843536414348
OrientationRef60,0.023037564499588093,0.003961158051264388
Coherency100,0.04129130059122485,0.01034480802873776
Energy100,0.07700522502540043,0.02034322261079807
MeanInt100,0.028015593212758427,0.007648457412064408
VarInt100,0.039343474434602246,0.011858174766974715
Density100,0.01680429282627318,0.005546006315318042
VarDensity100,0.02546670962607444,0.02136529423741978
OrientationRef100,0.03058251453079135,0.009262759072617177
Coherency140,0.05435996947987174,0.010365068997457313
Energy140,0.08116068686757645,0.017157094774634205
MeanInt140,0.035148890071524636,0.008553997381651003
VarInt140,0.05831337416163261,0.01900585790496163
Density140,0.04437335661829504,0.027800870874029576
VarDensity140,0.026899659463360044,0.019939107039078637
OrientationRef140,0.04365091834259948,0.008726081594008759
