,mean,std
Coherency20,0.005535471248724088,0.00032996858819609994
Energy20,0.03060458489282073,0.001091960374842647
MeanInt20,0.0009877934671657207,0.00020843947820279975
VarInt20,0.000649668254508362,0.0004573480834386476
Density20,0.00013929057502554132,0.00022732714394796283
VarDensity20,0.00046465634569584633,0.0002067840035151468
OrientationRef20,0.0011302739026879949,0.0002984807312467668
Coherency60,0.003400391289554294,0.0006051550140018799
Energy60,0.021188116706362736,0.0009136232939948025
MeanInt60,0.0003902262674379431,0.00035307047275442695
VarInt60,-0.005344079618917963,0.00021404574007226297
Density60,-0.001771435862538262,0.0004641390131933957
VarDensity60,-0.001295083361687621,0.00029048560353062564
OrientationRef60,0.004840081660428741,0.00024671004234821643
Coherency100,0.0033376573664511966,0.0005779519026501384
Energy100,0.010798741068390627,0.0005315413307909069
MeanInt100,-0.0054057502551888015,0.00036295946647576393
VarInt100,-0.006699770330044219,0.00047101206411770895
Density100,0.0005412129976182567,0.0004454511982163079
VarDensity100,-0.0018479925144606723,0.0003149483597143394
OrientationRef100,0.0012748809118748317,0.0005061613884436393
Coherency140,0.010443603266417167,0.0005281828509149752
Energy140,0.02058842293297043,0.0006083273888984948
MeanInt140,-0.006196835658387167,0.0005511437319047608
VarInt140,0.006896478394011607,0.0006488698637446017
Density140,-0.004831575365770646,0.000482483901578497
VarDensity140,-0.004763525008506253,0.00042390353667185436
OrientationRef140,0.016223630486560104,0.0005403924540221992
