,mean,std
Angle20,0.014961213353782341,0.0019581823754794263
Coherency20,0.020580818670878305,0.004921128090376588
Energy20,0.07020913805845834,0.016049919695011718
MeanInt20,0.010881637111971345,0.00528637043699417
VarInt20,0.013379879291375695,0.0031553754231901806
Density20,0.007726077326661688,0.009337950664997176
VarDensity20,0.004911768851775652,0.0009783238902781762
OrientationRef20,0.012678521457493808,0.0017959163131769822
Angle60,0.021225896344344724,0.002571691563160995
Coherency60,0.029883508186045918,0.012114029164829372
Energy60,0.06962954651607187,0.01538589041015141
MeanInt60,0.015368121823839996,0.005451180976212216
VarInt60,0.01877516385516265,0.004938360913312277
Density60,0.014999076050803166,0.014325030286834146
VarDensity60,0.008533572713345572,0.009186110412687291
OrientationRef60,0.020696611974920162,0.0028941837587815804
Angle100,0.025931193634098425,0.003120209119632437
Coherency100,0.04434386138557523,0.016485281514727678
Energy100,0.0609786554800229,0.012966957458858352
MeanInt100,0.029801984270961653,0.018544157758675735
VarInt100,0.027957262057039526,0.012602706992263473
Density100,0.020380729422846387,0.017843414028261482
VarDensity100,0.015133328446279404,0.01412588817181958
OrientationRef100,0.02648363101725742,0.003089832713731385
Angle140,0.029336937947103285,0.003129450685994483
Coherency140,0.055013480241255984,0.015184495102324324
Energy140,0.06696949949075194,0.013078905019393372
MeanInt140,0.03748327148833719,0.016503417183299715
VarInt140,0.03525123524606498,0.010885271510195018
Density140,0.04316526754154838,0.023548076893414625
VarDensity140,0.021969621841971706,0.017673185284149812
OrientationRef140,0.030852042742080567,0.004335346803488627
Dist,0.07450744615987381,0.008641806816087984
