,mean,std
Angle20,0.0033893474635309897,0.0003353719981643284
Coherency20,0.005819206654140885,0.0003385989332077106
Energy20,0.049692837087546696,0.000739585227106511
MeanInt20,0.0012740399839557437,0.0002849202728745131
VarInt20,0.0016667018514218035,0.0003461616690255334
Density20,0.0008264898984567837,0.00016291301546313022
VarDensity20,0.0005531043509468092,0.0002384311748780302
OrientationRef20,0.0022620279085477702,0.00022406612345935402
Angle60,0.005907872237117107,0.00021415032927815837
Coherency60,0.009907323354936748,0.00039433242716080516
Energy60,0.046243323692710406,0.0007620842526864186
MeanInt60,0.0010798201355316727,0.0003144401154213622
VarInt60,0.0029196309822879796,0.000315330007840703
Density60,0.0010903755620764622,0.00031134214278214243
VarDensity60,0.0001456648863180421,0.00016648153131493008
OrientationRef60,0.005313601722645611,0.00020506887533333566
Angle100,0.009036500664991865,0.0004015628875860045
Coherency100,0.015249424729253313,0.0005184433973331418
Energy100,0.02434609132555047,0.0004933857486751069
MeanInt100,0.005885705841373023,0.0004694543014139112
VarInt100,0.005553209905212253,0.0003606945400561989
Density100,0.004399501783867066,0.00037960812600486564
VarDensity100,0.001076653507568226,0.00025125462968614087
OrientationRef100,0.008565728641094394,0.0002943904489441851
Angle140,0.011127530663514084,0.00015894944359460438
Coherency140,0.02362937786315943,0.00032909240252000063
Energy140,0.030853511790411438,0.0007145641769546371
MeanInt140,0.01231290506449365,0.00047135032381340187
VarInt140,0.012239017078680126,0.00036702691940540934
Density140,0.01368933268593383,0.0005739366983141705
VarDensity140,0.0049568283054318265,0.00031195526968381146
OrientationRef140,0.011261584580632877,0.0003657558108919983
Dist,0.05710907977791383,0.0007558186624786055
