,mean,std
Angle20,0.005942107303598802,0.002646462797492744
Coherency20,0.011927119019737184,0.009038018658933491
Energy20,0.09561219510495843,0.05082116890187045
MeanInt20,0.004512950983767635,0.00302213318693965
VarInt20,0.009249658515556284,0.007087779366243891
Density20,0.0033016668614625428,0.005168182150836306
VarDensity20,0.006701260771417434,0.019510046770863633
OrientationRef20,0.004168680071717695,0.0014965939378761086
Angle60,0.010560725319051301,0.004274912108550969
Coherency60,0.031893400664179755,0.02248447036140169
Energy60,0.07335778516512602,0.028208493109297957
MeanInt60,0.016450881479470002,0.018415055198887715
VarInt60,0.014817064348867374,0.015084235220233241
Density60,0.00843996737277731,0.012027823705413403
VarDensity60,0.008704517209048086,0.01865267948216597
OrientationRef60,0.011807740901436044,0.006215844614987848
Angle100,0.013927590784554024,0.005475153664243213
Coherency100,0.044860490481664454,0.030739398730317304
Energy100,0.053701985030855284,0.02052757731599988
MeanInt100,0.028242193286127638,0.027382180836731045
VarInt100,0.031330595720302945,0.02911932864754418
Density100,0.03114613724814626,0.035421317316773504
VarDensity100,0.015588528780525782,0.026896961177067996
OrientationRef100,0.013819488496190585,0.0063474342570772994
Angle140,0.021133611261212805,0.004529373846676706
Coherency140,0.06926001170100295,0.033613451215643256
Energy140,0.07784772019353593,0.0327747416728962
MeanInt140,0.04649204761726891,0.04289954588526752
VarInt140,0.0455637938683147,0.03059739432463567
Density140,0.054365631115564354,0.034907435193422244
VarDensity140,0.020306742835342798,0.026249837285422125
OrientationRef140,0.020781475933161764,0.008655026088799122
Dist,0.09418423455405706,0.028245622196003586
