,mean,std
Angle20,0.0011738686628105066,0.00016473741414482017
Coherency20,0.0023083957128275157,0.0003656361892449551
Energy20,0.0287427696495407,0.0010779735942904798
MeanInt20,0.00013929057502555243,0.0001672067143169362
VarInt20,0.00010101224906435834,0.00025700986656329323
Density20,-5.316434161275474e-05,0.00011696155154814682
VarDensity20,0.0008027815583532272,0.0002680347653115812
OrientationRef20,0.0002456192582511285,0.00012727947549042676
Angle60,0.003252594419870747,0.00017403182990827172
Coherency60,0.005902305205852376,0.00042276717678822853
Energy60,0.018127977203130342,0.00046047686130751405
MeanInt60,-0.0002211636611091916,0.00028557912850806893
VarInt60,0.0004146818645798356,0.00031912778976358927
Density60,0.0001775689009867576,0.0002167671311559218
VarDensity60,-1.2759441987042486e-05,0.00011876490307454864
OrientationRef60,0.0033217080639673657,0.00024860000867744686
Angle100,0.003937351139843515,0.00022700862599891664
Coherency100,0.006326556651922466,0.0004677978724762159
Energy100,0.011501573664511766,0.00046063887831228535
MeanInt100,0.001608752977203165,0.0003847291495973111
VarInt100,0.0004316944538958922,0.0004214480579681989
Density100,0.0011526029261653913,0.0002588486569360749
VarDensity100,0.0012078938414426977,0.00021895448648488817
OrientationRef100,0.003955427015991863,0.00020045142470691174
Angle140,0.008037385165022138,0.0002694734706326024
Coherency140,0.01584191051378021,0.0004892841187701905
Energy140,0.021692114664852002,0.0005168153747985175
MeanInt140,0.0039883889077917956,0.0004844774012127733
VarInt140,0.007085743450153148,0.00035310729537273253
Density140,0.009623809118747906,0.0006488567957512897
VarDensity140,0.0013801463082681264,0.00025016859296218694
OrientationRef140,0.006219164681864608,0.00026596840117067686
Dist,0.035260717931269156,0.0007088192543628639
