,mean,std
Angle20,0.013585192494745116,0.0015690278260561106
Coherency20,0.02071986293239574,0.0071437457314987955
Energy20,0.06318147483323258,0.010391944539307202
MeanInt20,0.010865588800938403,0.0049265961187729464
VarInt20,0.013830248790454826,0.0037885693681476745
Density20,0.009524166537212598,0.01101741804539456
VarDensity20,0.004755625151906836,0.0010163520874944345
OrientationRef20,0.012321338937693594,0.0017155080151279637
Angle60,0.020662137025117287,0.002814506875033391
Coherency60,0.031605507878113115,0.008138034211450077
Energy60,0.07141306088889289,0.017176000663157127
MeanInt60,0.02552402166559139,0.022668583775928244
VarInt60,0.019750508349401515,0.0035670534876802423
Density60,0.01025570402643169,0.0028416201692033076
VarDensity60,0.008446918653033745,0.004638417287098291
OrientationRef60,0.021394934078929756,0.003655722292244116
Angle100,0.026229033122296706,0.002310143397957089
Coherency100,0.04464593881954044,0.01288123605247483
Energy100,0.057489070142915176,0.008911295048882956
MeanInt100,0.03128705129895376,0.023105781386468446
VarInt100,0.032865230345355746,0.013060743326643597
Density100,0.0236915027837529,0.017910825940410793
VarDensity100,0.024580513229662128,0.01869281265934944
OrientationRef100,0.02427970226684619,0.003388121117969762
Angle140,0.030098716458830572,0.002588458792843216
Coherency140,0.05052156887110446,0.012874936162908314
Energy140,0.06214140045908116,0.012156439779471472
MeanInt140,0.04285763673355912,0.02187931855846276
VarInt140,0.03216665002294168,0.011708175514929295
Density140,0.030331838731088023,0.02200416343075872
VarDensity140,0.021094115867510956,0.010966886829100693
OrientationRef140,0.029328790492855288,0.0026936429868802876
Dist,0.07855494930961464,0.012792047700801602
