,mean,std
Angle20,0.002379193143194969,0.00028453483151747496
Coherency20,0.007555574320758351,0.0003456253497562865
Energy20,0.0405951149485951,0.0006746965565578636
MeanInt20,0.0012138740526505098,0.0002853871906646955
VarInt20,0.001883088095590002,0.00040088948613441856
Density20,0.0012149295953049922,0.0002861844584290311
VarDensity20,0.0003166627963436475,0.00016822581699538718
OrientationRef20,0.001214929595304981,0.0001687845380468644
Angle60,0.006831472059785982,0.00021831112788185558
Coherency60,0.01704701386983053,0.0006119781067193456
Energy60,0.046404821718845704,0.0008505217928878688
MeanInt60,0.0055817095568832294,0.0003074438992443697
VarInt60,0.004065950305051869,0.0005059959260776817
Density60,0.0024826363233338643,0.00033525071621276953
VarDensity60,0.0008412674956195354,0.00028690767782722825
OrientationRef60,0.005732652156473672,0.00028016456439443875
Angle100,0.014129493972851492,0.0003819606199125487
Coherency100,0.020162975785851557,0.0007960611307870901
Energy100,0.028105934260803524,0.0006413679031887994
MeanInt100,0.009139943845130848,0.000374842502640249
VarInt100,0.007185078849036341,0.0004684766578634332
Density100,0.006003926618674693,0.0003593126732422959
VarDensity100,0.004721442293483114,0.00047544083091999794
OrientationRef100,0.00769385040849504,0.0004013408594189295
Angle140,0.01319956089425579,0.0005038654724891803
Coherency140,0.02438409086111174,0.0006530295295032239
Energy140,0.04213198505351606,0.0008260152397886979
MeanInt140,0.01682112774177208,0.0005004474554701716
VarInt140,0.015645253224682843,0.0004605070220417987
Density140,0.01126475120859639,0.0008121205522568315
VarDensity140,0.006288923135383939,0.0003700666913305214
OrientationRef140,0.01344339124744035,0.0004571657475104382
Dist,0.04936984103527627,0.0005808324274463063
