,mean,std
Coherency20,0.024744479689022544,0.0038890941433758846
Energy20,0.0883130557050806,0.02674423333250269
MeanInt20,0.014523899353641434,0.005220131004377458
VarInt20,0.018995298472164922,0.004243268977248116
Density20,0.006646571207279989,0.00106181201550184
VarDensity20,0.007384303855763734,0.002818718949993148
OrientationRef20,0.017418274006326753,0.001780910001748218
Coherency60,0.03806877689774101,0.012841406844064953
Energy60,0.08648450650631692,0.01475079822053102
MeanInt60,0.02070888632362155,0.010679497588207354
VarInt60,0.025153289218069468,0.006540904678477718
Density60,0.017848561599724193,0.01344865636083324
VarDensity60,0.011199910376998844,0.006219628831260696
OrientationRef60,0.025742015262156744,0.002989402306058
Coherency100,0.04396277636881774,0.013181513005892572
Energy100,0.06875724843944134,0.010538576613235033
MeanInt100,0.0371475277954513,0.024113640101013148
VarInt100,0.034229390348305064,0.015111823965839473
Density100,0.02603731700471902,0.020811313850909615
VarDensity100,0.017046600419239617,0.014127128641089295
OrientationRef100,0.028628603100271596,0.00485436076865479
Coherency140,0.06699727118981617,0.012375345893492153
Energy140,0.06692680343709677,0.006411831188325273
MeanInt140,0.06324343989142266,0.038966344639599276
VarInt140,0.04375918654530962,0.018290711911480434
Density140,0.040489611230738895,0.015183897554798736
VarDensity140,0.02557551055060844,0.008232239644911375
OrientationRef140,0.03396688520485306,0.006051448019565261
