,mean,std
Coherency20,0.00762524013595387,0.00038734820079995395
Energy20,0.04672042897253477,0.0008123125993610064
MeanInt20,0.0015864806096814287,0.00023513027076331146
VarInt20,0.004122949608393667,0.0004906445665759157
Density20,0.0004728831092064345,0.0002414310112131422
VarDensity20,0.0004823829930967416,0.0001628446105997681
OrientationRef20,0.0026103569845257303,0.00027297769785871855
Coherency60,0.012863898330131508,0.0004246654191096838
Energy60,0.052099474339758055,0.0007380772097574696
MeanInt60,0.0014059828157655496,0.00031980677985111024
VarInt60,0.003945618442441279,0.000514381866978307
Density60,0.0029935189681014607,0.00044308155314214836
VarDensity60,0.001017543118917419,0.0002454766511457048
OrientationRef60,0.006665751863032765,0.00033814453502590115
Coherency100,0.01260001266651185,0.0007066154472989844
Energy100,0.029945745107559773,0.0008314433844217522
MeanInt100,0.0058075956849416134,0.00044327262110328825
VarInt100,0.009599104899829014,0.00044038271798817213
Density100,0.0049779391585213825,0.00046211073943604376
VarDensity100,0.0023190272118896126,0.00026599046586243263
OrientationRef100,0.009220165086871157,0.00040296991166408595
Coherency140,0.03738309865101648,0.0006160463803224991
Energy140,0.029659693048196056,0.0007292944259736299
MeanInt140,0.02493930629736746,0.0004849078400237976
VarInt140,0.01810044543900018,0.0004602892207043447
Density140,0.013035951782811517,0.0004987257530451348
VarDensity140,0.007671684012750946,0.000267525406451135
OrientationRef140,0.012902953408347207,0.0004103387280352965
