,mean,std
Coherency20,0.029321468030877106,0.007798753300684779
Energy20,0.07239673227945474,0.015516057781884005
MeanInt20,0.013449912896571582,0.004124650170576844
VarInt20,0.017951736461767225,0.004467601779986167
Density20,0.007360078766848809,0.0012991219193261708
VarDensity20,0.006234994106385109,0.0011673620298308577
OrientationRef20,0.016965776874688705,0.002094870396547934
Coherency60,0.03166343173886179,0.00659409628142403
Energy60,0.08440160474920412,0.017400503005711065
MeanInt60,0.023042002554739597,0.0067474340843408556
VarInt60,0.03040398621228974,0.010455543667149887
Density60,0.03846093307655684,0.028542075940110122
VarDensity60,0.009089057684052283,0.0031661351601266732
OrientationRef60,0.026589458400151526,0.003592835592890976
Coherency100,0.04561189016462489,0.01162956139820743
Energy100,0.0718174340619389,0.0136366401566143
MeanInt100,0.02906836644461386,0.01025748751308967
VarInt100,0.035387656930178465,0.00873899069357324
Density100,0.02562850034470483,0.018049250601905063
VarDensity100,0.019027011811896664,0.01725230173017626
OrientationRef100,0.028835974802303214,0.003906552856802479
Coherency140,0.07553106415856091,0.011840918328819392
Energy140,0.06921634497481181,0.007006478880124088
MeanInt140,0.04300260243882002,0.012572938146108631
VarInt140,0.047649505018052714,0.021901527981051782
Density140,0.037645164873033835,0.022555333059904
VarDensity140,0.023548934662373507,0.00945281117879751
OrientationRef140,0.04069837548163728,0.008122710781248096
