,mean,std
Coherency20,0.00905444489011802,0.00037425797634718796
Energy20,0.055579598471574246,0.0005467313578969138
MeanInt20,0.0029787413709388088,0.0004139504013224559
VarInt20,0.00390867444953451,0.00044998935949714145
Density20,0.0006132702822521207,0.00017690655563929662
VarDensity20,0.0009489328463763158,0.00021113227926968493
OrientationRef20,0.00260296818594441,0.0002933269283475579
Coherency60,0.009305664041883942,0.0004552608208883303
Energy60,0.0700595326057126,0.0008713189734374625
MeanInt60,0.006056703751398618,0.0004363823211504683
VarInt60,0.007252633578922929,0.00042932048379001517
Density60,0.012418459329941544,0.0003140926755088459
VarDensity60,0.0015632586712829078,0.00020306237579459033
OrientationRef60,0.006584475078637931,0.000408722690114802
Coherency100,0.015892250205830814,0.0006547972737925708
Energy100,0.04347885748063081,0.00039340600092910077
MeanInt100,0.010900588992801196,0.0006645401812264497
VarInt100,0.01145369334374804,0.000376710440999244
Density100,0.00886339166965736,0.0005440306162769741
VarDensity100,0.005383267537841218,0.0004989267755929716
OrientationRef100,0.009352107918680996,0.0004768202916027992
Coherency140,0.04327091557769851,0.0007836677379596587
Energy140,0.05091937765205092,0.0006559329243763135
MeanInt140,0.023868986045726105,0.0006888424780640436
VarInt140,0.029867634951128364,0.0005820473148359647
Density140,0.014695264835652,0.00039253699848031175
VarDensity140,0.010978699149232617,0.0004639695341383379
OrientationRef140,0.017239122632945615,0.0002488395634509716
