,mean,std
Coherency20,0.025645793695912307,0.005045625761331246
Energy20,0.08730911241693537,0.022788288718287787
MeanInt20,0.014780661279184698,0.0059636205706801075
VarInt20,0.017822484068030095,0.005496703868013856
Density20,0.007257639056432159,0.0024576192473294246
VarDensity20,0.008819171346151709,0.0033550241754752917
OrientationRef20,0.017447155343258424,0.002519107748041615
Coherency60,0.04351812289196434,0.017732064179916775
Energy60,0.08287719266061941,0.01960364523260949
MeanInt60,0.02172724010324592,0.009543555755204682
VarInt60,0.020463517926325704,0.0036671869953595958
Density60,0.015297118004647142,0.009237386949075025
VarDensity60,0.01469805386070636,0.015886830230201848
OrientationRef60,0.02672605510292056,0.004881253658050186
Coherency100,0.04480126364615551,0.012733181689967269
Energy100,0.06210221277545117,0.017847968360986694
MeanInt100,0.04182267467806992,0.033599697659040854
VarInt100,0.03213115083087339,0.009455326814753253
Density100,0.02480260087912849,0.01920111281976588
VarDensity100,0.019185441135381225,0.010615637944936585
OrientationRef100,0.028948429866956282,0.0029553327385206615
Coherency140,0.06682269334416557,0.01621167071957514
Energy140,0.06862444446624989,0.01011139332845959
MeanInt140,0.067688901894042,0.03269841996893755
VarInt140,0.03996840629461296,0.007050583166065614
Density140,0.0360317190094903,0.011821526484087524
VarDensity140,0.026044409321240497,0.016850941009861408
OrientationRef140,0.036636334101848606,0.004235737082098125
