,mean,std
Coherency20,0.009589783940115693,0.0005170340872763148
Energy20,0.052479584892820716,0.0010534827865641971
MeanInt20,0.0012387291595781003,0.0002167775621809628
VarInt20,0.0029803929908132076,0.00030769433961415344
Density20,0.000494428376999001,0.00017317218308630502
VarDensity20,0.0013057162300102233,0.0002979025350091393
OrientationRef20,0.0028921401837359805,0.00031221548919467654
Coherency60,0.02464698877169108,0.0006157890539116297
Energy60,0.05373107349438587,0.0009261350384703442
MeanInt60,0.0031154304185097457,0.00039781708446604295
VarInt60,0.0032026199387547027,0.0004096842922846708
Density60,0.0028102670976522747,0.0005368082315527585
VarDensity60,0.0013514375637972199,0.00026284699968865885
OrientationRef60,0.008549889418169454,0.0004423694938444875
Coherency100,0.016391629806056497,0.00063637872361616
Energy100,0.030033599863899307,0.0007169928469164988
MeanInt100,0.009197431099013276,0.0005505731662153527
VarInt100,0.012053419530452558,0.0004338731463331986
Density100,0.003428036747192953,0.00033570913874421144
VarDensity100,0.0030441902007485753,0.00032982636515056774
OrientationRef100,0.009685479755018734,0.00033682704879012097
Coherency140,0.03188052909152774,0.0006330808370582554
Energy140,0.04361815243280028,0.0006276779496304373
MeanInt140,0.02887142735624363,0.0006823294779742639
VarInt140,0.014905154814562805,0.00034910153504815085
Density140,0.017043424634229355,0.0005475762012856573
VarDensity140,0.00748128615175232,0.00044996509810838836
OrientationRef140,0.016331022456617904,0.0003022971400952513
