,mean,std
Angle20,0.002873615425081343,0.0014136147062758047
Coherency20,0.007146671208757315,0.008013625983944745
Energy20,0.08829032736825647,0.03413143688858537
MeanInt20,0.004117374824444982,0.00471534986794271
VarInt20,0.02743568628266151,0.02095208046643306
Density20,0.002513461005881955,0.004934247270878838
VarDensity20,0.0005414783334083781,0.0014383773012922227
OrientationRef20,0.004675979313642864,0.006644975256075195
Angle60,0.007592179979384051,0.0044860571104897
Coherency60,0.029367387606766503,0.022028911295472724
Energy60,0.1047621489948945,0.05371613652075924
MeanInt60,0.007869621613563374,0.009043030632395444
VarInt60,0.033787780128705626,0.028255291765521977
Density60,0.015885388677609837,0.03133839997653999
VarDensity60,0.007690306414953298,0.02063653155900676
OrientationRef60,0.013106651295552739,0.013470722815149362
Angle100,0.01097535620908259,0.006723481078321059
Coherency100,0.04426802498294573,0.023104911705627222
Energy100,0.047195658720751224,0.030856470764224434
MeanInt100,0.023359966844691774,0.02063354434481673
VarInt100,0.04489839851382782,0.033806317734377825
Density100,0.030483421736483968,0.039593236982360995
VarDensity100,0.026718910423051048,0.04696619816195621
OrientationRef100,0.011946222036369584,0.010878674273307475
Angle140,0.01205013869136994,0.00636132201704787
Coherency140,0.045539521861804655,0.030793158989887427
Energy140,0.09426551745769066,0.04296421859423967
MeanInt140,0.02606097259966735,0.02558234719934821
VarInt140,0.05934758416435349,0.03709115928774473
Density140,0.06547034211115382,0.06384856815525315
VarDensity140,0.02761347176018647,0.04490644221980052
OrientationRef140,0.03251413337215776,0.01993129172095083
Dist,0.03963630004084754,0.019387914803669186
