,mean,std
Angle20,0.0002596634930017383,0.00014748918891855503
Coherency20,0.001032320716080115,0.00023350168645398724
Energy20,0.02162806899026789,0.001094532077397267
MeanInt20,0.0007029914078827582,0.00013015316043656327
VarInt20,0.004121894065739195,0.0006067534259198125
Density20,0.0002448858958390421,9.671904569615384e-05
VarDensity20,0.0006016593130528048,4.9283782769012974e-05
OrientationRef20,0.0021142519369207525,0.00033104516977019055
Angle60,0.00022377504274946337,0.00016567649017908248
Coherency60,-0.0022124174037872813,0.0003112043360228549
Energy60,0.017324621587958354,0.000589254736965438
MeanInt60,-0.007169245709219107,0.00019150464601197487
VarInt60,-0.0008022124174038136,0.0006321281790513678
Density60,-0.0015305368489940796,0.0001922710857153678
VarDensity60,-0.00024277481053011085,0.00026456034842455
OrientationRef60,0.006162258016846422,0.0006098040842102525
Angle100,0.002691633768920587,0.00019932715001930566
Coherency100,-0.0008391564103105486,0.00038697552707691284
Energy100,0.0047319977200278255,0.00047233735203343216
MeanInt100,-0.020329751525259166,0.0005303826130149914
VarInt100,-0.004508222677278395,0.0006308128144230735
Density100,-0.014482045219447338,0.00036455209893536026
VarDensity100,-0.0042517258122400925,0.00039542155047316913
OrientationRef100,-0.0017374232092719154,0.0002474656665432247
Angle140,0.0013700943655132857,0.0002244015166436653
Coherency140,0.00403639511072641,0.0005792650367932049
Energy140,0.017756338533640125,0.0005145984251191856
MeanInt140,-0.014269881145897112,0.00031646746070545834
VarInt140,-0.01891215774029431,0.0007725973778370473
Density140,-0.021492959530494647,0.0006425090825655911
VarDensity140,-0.011059975933627498,0.00039392535087940777
OrientationRef140,0.006685807173467872,0.0005137836928834987
Dist,0.0015210369651037503,0.0002922709742342704
