,mean,std
Angle20,0.013422696677780793,0.0024928888796951136
Coherency20,0.020092128972314903,0.0036248321826584384
Energy20,0.08311892697377875,0.014970459685059521
MeanInt20,0.011658521821578043,0.003252774245414822
VarInt20,0.020688338542833966,0.006815794161566866
Density20,0.00515588838286352,0.0013027683043453178
VarDensity20,0.004818219371329013,0.0018009789928963092
OrientationRef20,0.012999199807445133,0.0027539267115823823
Angle60,0.019006557462808576,0.0025495090351539446
Coherency60,0.028723024572876,0.007084347098928878
Energy60,0.07181829257714771,0.013574832891107273
MeanInt60,0.01594131169235656,0.007060186481524672
VarInt60,0.024586914514018086,0.01091350976526891
Density60,0.013941236555711356,0.01158797195232955
VarDensity60,0.006195873148841605,0.001265417318662379
OrientationRef60,0.021526927819161393,0.007499990066220836
Angle100,0.02381403940392161,0.004480812366473641
Coherency100,0.03524745135299987,0.010449265452528226
Energy100,0.07028955790461085,0.019483015003977727
MeanInt100,0.020737187034219125,0.007045493335002076
VarInt100,0.02942511452330466,0.009197524053427338
Density100,0.023560800506220437,0.017389444033016024
VarDensity100,0.020212592364787504,0.02182332204077703
OrientationRef100,0.027164490818511817,0.007666105687800245
Angle140,0.030033095780233332,0.006793072526677292
Coherency140,0.05044564013832061,0.009344970827898527
Energy140,0.06824791583779792,0.017014985099539193
MeanInt140,0.03154385487388755,0.011003827622032517
VarInt140,0.044817859160311516,0.013310609638090085
Density140,0.02498925061681552,0.0126824647040891
VarDensity140,0.0344231354464586,0.02387361600120493
OrientationRef140,0.03522845957390972,0.007540527011120137
Dist,0.05612549577084393,0.00942116600337621
