,mean,std
Angle20,0.0017958914596801323,0.00026753657469242637
Coherency20,0.00399051548145628,0.00046031969945030523
Energy20,0.028562010888057144,0.0008717110528442864
MeanInt20,0.0013822728819326113,0.00027187726582868433
VarInt20,0.0009239962572303196,0.0005268680135532109
Density20,-0.0004380741748894468,0.00019708416543206173
VarDensity20,-6.379720993536786e-05,0.00020107088556603432
OrientationRef20,0.0005646053079278567,0.00023239325051320226
Angle60,0.002131890098672984,0.00036417379973803477
Coherency60,0.0024030282408982417,0.000578021342925976
Energy60,0.027236092208234086,0.00048187544535877464
MeanInt60,0.002252041510717917,0.00022068261409624685
VarInt60,-0.002902773052058538,0.00044107824134340747
Density60,0.000653921401837354,0.0003411891779742655
VarDensity60,0.0005901241919019862,0.00025077569783665685
OrientationRef60,0.001653411024157847,0.0005751045128384802
Angle100,0.003898009527050006,0.00042635548063992446
Coherency100,0.002697558693433133,0.000607025042021611
Energy100,0.017228436543041837,0.0007756755784526081
MeanInt100,-0.0015598417829193688,0.00026257157338086277
VarInt100,-0.0025199897924464087,0.0007068738537994124
Density100,-0.0013833361687648816,0.00039523531513206624
VarDensity100,-0.0018012078938414611,0.00041474184052542643
OrientationRef100,0.004424336509016658,0.0007269251238740028
Angle140,0.008442497448111552,0.0002792621200055778
Coherency140,0.01009165532494044,0.0003416262987433609
Energy140,0.02304780537597819,0.0005001789865382593
MeanInt140,-0.0029240387887036535,0.00030904903240190856
VarInt140,9.994896223202155e-05,0.0009388310940347577
Density140,-0.003515226267437932,0.000498503522375467
VarDensity140,-0.0022010037427696695,0.00039795915692670744
OrientationRef140,0.009689732902347736,0.0001899120772749341
Dist,0.015341102415787644,0.0006209959229024255
