,mean,std
Coherency20,0.0241300516391406,0.002719183035920294
Energy20,0.09615217714785129,0.018421014582601904
MeanInt20,0.013769617265676033,0.0026138441572585804
VarInt20,0.02319178664517144,0.007551798981229278
Density20,0.00737758478517899,0.001999330880463034
VarDensity20,0.00654475290057499,0.0014203516320581216
OrientationRef20,0.017036667087534898,0.002765717493748832
Coherency60,0.03156084492964387,0.0070534408260544915
Energy60,0.08964798692193081,0.02053622778689709
MeanInt60,0.01892075735107453,0.005062918177875207
VarInt60,0.027142463170489482,0.010008353548797774
Density60,0.013903713963258572,0.009197782949998982
VarDensity60,0.009708705564131715,0.006689734860053481
OrientationRef60,0.025881070136913615,0.005126448815091425
Coherency100,0.041851385337362275,0.010616817848384518
Energy100,0.0743509683795313,0.021823058238768924
MeanInt100,0.02496939595387806,0.006692961471259356
VarInt100,0.03539821205954664,0.012573668863360395
Density100,0.020580415753598143,0.01369368942469232
VarDensity100,0.02179063912828304,0.016590181471128645
OrientationRef100,0.03279678558499149,0.008471548624160382
Coherency140,0.05451299263653796,0.013208632125456962
Energy140,0.08129289672363472,0.021412908092842926
MeanInt140,0.04172115957552656,0.012037234288881161
VarInt140,0.058948832550300444,0.01702589305549968
Density140,0.041673345385661496,0.024942444081452103
VarDensity140,0.02788964362134957,0.02087529480889842
OrientationRef140,0.03725514780122759,0.008254752229232437
