,mean,std
Coherency20,0.031021115926613545,0.002605076414048299
Energy20,0.07860691104507685,0.008955510292035949
MeanInt20,0.019048497264404454,0.0020417687142069057
VarInt20,0.02907095354512318,0.0056845250150553295
Density20,0.011951115731465095,0.00118430775876806
VarDensity20,0.011913524057686975,0.0013806069430172495
OrientationRef20,0.02310634749951878,0.0018857902034027758
Coherency60,0.033496717751742164,0.004451182063624344
Energy60,0.07582632844967666,0.018402146309193367
MeanInt60,0.023465527069182163,0.004150465455468898
VarInt60,0.03197579441532741,0.009226676471063643
Density60,0.018730320794174308,0.006632977860197233
VarDensity60,0.015982840642077896,0.006957272227525452
OrientationRef60,0.029586998444117267,0.004003764112091538
Coherency100,0.043750895944672,0.006837240682051189
Energy100,0.06686644434207223,0.01659481232879189
MeanInt100,0.02854841094569107,0.006431742896896016
VarInt100,0.0381094378048142,0.009638408210535737
Density100,0.024616389015481743,0.011046958832561722
VarDensity100,0.01985386574033045,0.010522958488168279
OrientationRef100,0.03458204827174234,0.005167243753282311
Coherency140,0.048982119957756885,0.007439470004181189
Energy140,0.07055932272303553,0.015835818508952527
MeanInt140,0.03659131594312522,0.007598010124451366
VarInt140,0.05059677054551219,0.01112186606130083
Density140,0.035166879202486456,0.01376851743943101
VarDensity140,0.030054044008759814,0.012906892621522123
OrientationRef140,0.03793906291833294,0.005733408054957784
