,mean,std
Coherency20,0.0052345610751955984,0.0003726983401028439
Energy20,0.04400625212657361,0.0006401843307607185
MeanInt20,0.0006135165022115752,0.00024097232672762097
VarInt20,0.003135632868322513,0.00041705926591537897
Density20,-0.00014673358285136607,0.00020279530965264212
VarDensity20,6.273392310304215e-05,0.0001516032262421056
OrientationRef20,0.0015672847907450937,0.00023335209779367532
Coherency60,0.004742259271861116,0.00025536599272332734
Energy60,0.039141714869002996,0.0005305534931853812
MeanInt60,-0.00021903708744476226,0.00032471881586638464
VarInt60,0.0027943177951683775,0.0002939675625920564
Density60,-0.000968654304185157,0.000364862348621713
VarDensity60,0.00016799931949635917,0.00024468538079405695
OrientationRef60,0.00282515311330378,0.00016076742191917484
Coherency100,0.006951769309288825,0.00036288470141048384
Energy100,0.02083935862538272,0.0004473759603527795
MeanInt100,0.0011355903368492127,0.00031887261224440843
VarInt100,0.0036917318815923193,0.0004472584331960981
Density100,9.888567539972914e-05,0.00037862716956492095
VarDensity100,-0.00010313882272886544,0.00033330438352839316
OrientationRef100,0.00602245661789721,0.0004397999072470236
Coherency140,0.011969419870704278,0.0005980938811181373
Energy140,0.02929674208914591,0.000514658286999476
MeanInt140,0.002616748894181642,0.0003143249248989542
VarInt140,0.015140141204491264,0.0007371185637576884
Density140,0.003079278666212948,0.0004835372129229513
VarDensity140,0.0009176165362367427,0.0003489476705448262
OrientationRef140,0.008873128615175186,0.0003961724549711129
