,mean,std
Angle20,0.00800464570187584,0.0010866106451162998
Coherency20,0.01843696797686043,0.024692217846881623
Energy20,0.05459617056087399,0.027136802662149326
MeanInt20,0.011161018099851917,0.007818848743419109
VarInt20,0.023785560703185403,0.01656769767185964
Density20,0.004996424541864301,0.002038667611048683
VarDensity20,0.004563746337949741,0.003562006713116939
OrientationRef20,0.007622091197907178,0.0009067106198260488
Angle60,0.011077105251509808,0.0016020360280361412
Coherency60,0.012571633820491819,0.001833010891449452
Energy60,0.1283576421676732,0.11523486029705038
MeanInt60,0.015338196335181613,0.007613808950158253
VarInt60,0.05635840518913447,0.061881195780077274
Density60,0.007188108324552528,0.003539785841242778
VarDensity60,0.0062861166798881245,0.002567943973715864
OrientationRef60,0.012397784798579557,0.0031492882949028674
Angle100,0.012707495370068557,0.0016750244067531158
Coherency100,0.013612388847426264,0.0017523248562611564
Energy100,0.14720059804814345,0.1546281102250111
MeanInt100,0.024303900453955186,0.020755044573402454
VarInt100,0.02958599029838048,0.042144491747811826
Density100,0.01731366239890241,0.008651555535540876
VarDensity100,0.012968319511413319,0.017639609704976945
OrientationRef100,0.012028584273491055,0.0018961740745678322
Angle140,0.014256140305454613,0.001375724648620944
Coherency140,0.01730575247061774,0.004383534683162372
Energy140,0.12024168460712045,0.1454398373632359
MeanInt140,0.02883271756571753,0.012348011710460375
VarInt140,0.0557751881859587,0.05831747395398265
Density140,0.026803276328614945,0.01731765653973448
VarDensity140,0.017673096038995532,0.014194794244052806
OrientationRef140,0.012855467772157514,0.0017037798479734784
Dist,0.05379411983620245,0.03537247561189102
