,mean,std
Angle20,0.0007283864130336992,9.718536830777104e-05
Coherency20,0.002445618005783967,0.00035801753415341
Energy20,0.026521887517738096,0.0004183799356523892
MeanInt20,0.001361570656176414,0.00014064899574899294
VarInt20,0.018118948824342986,0.0004333287909811634
Density20,0.0011558980438648337,0.00010089923307894286
VarDensity20,0.0007328770814247765,0.00016017025030237692
OrientationRef20,0.00024878302886598424,0.00019363270538719368
Angle60,0.0017396849347056432,0.0001286590208928118
Coherency60,0.0023441289001454703,0.0003163675084735143
Energy60,0.052544412710387775,0.0009773840458676766
MeanInt60,0.001990264230928096,0.00033224148711519914
VarInt60,0.011769143719351161,0.0004326021945068194
Density60,0.0011181764293797137,0.00013545154168289665
VarDensity60,0.0019435612796608326,0.00029704201498466023
OrientationRef60,0.0018878769916114036,0.00024510329717396685
Angle100,0.003185680156634485,0.000249579374850758
Coherency100,0.0029656374054713884,0.00023890355840563426
Energy100,0.03992743079880007,0.0005584658475918371
MeanInt100,0.004985540047780679,0.00019121812306321727
VarInt100,0.003859280415296984,0.00032342914841421345
Density100,0.004840940525587789,0.00027212116555375723
VarDensity100,0.002623448474070833,0.00026510770289222613
OrientationRef100,0.002063911192541845,0.0001844041454143347
Angle140,0.0037209678288516066,0.0001982435557298292
Coherency140,0.00522174920515166,0.00012024262521729
Energy140,0.016302024393310677,0.0005415001307309918
MeanInt140,0.013123529306101878,0.0002944125487028836
VarInt140,0.016154730470083124,0.0003828841941049857
Density140,0.008168525803380533,0.0003126292258486771
VarDensity140,0.006113595947620831,0.0003539843241603004
OrientationRef140,0.002887499775466551,0.0002031549792115528
Dist,0.01789172100375417,0.00036648806679634075
