,mean,std
Angle20,0.008302756518437301,0.0010347514901122739
Coherency20,0.020776008779312415,0.02416986198922309
Energy20,0.060450701589374184,0.0731438351521189
MeanInt20,0.007596019015669365,0.0019448100408686383
VarInt20,0.015225635131674967,0.003949966644641456
Density20,0.005606500597109103,0.009544771447779576
VarDensity20,0.0035806836287098397,0.0029689616297792084
OrientationRef20,0.007155090297218808,0.0012175681589188941
Angle60,0.011325252448826538,0.0014207097924577132
Coherency60,0.013276896542533787,0.007059085149250786
Energy60,0.13156982370088413,0.15946812642136599
MeanInt60,0.011601622151781116,0.004435504395544274
VarInt60,0.015956150492322584,0.019135777582581705
Density60,0.00853832502788374,0.0056159692189878645
VarDensity60,0.008386673987364309,0.011545051549909337
OrientationRef60,0.011273180434687401,0.0025199557295768364
Angle100,0.013332457339970159,0.0020538492270536393
Coherency100,0.016688319968917193,0.005824195275399256
Energy100,0.17691974115929593,0.18941944705475475
MeanInt100,0.02165546280262358,0.02096604802404867
VarInt100,0.0282730661182649,0.0370149286608984
Density100,0.016182267458950406,0.018914101289533195
VarDensity100,0.007189428961875952,0.0034319722349531153
OrientationRef100,0.012555695339535749,0.0027427199984867943
Angle140,0.015037896151465502,0.003125208851143567
Coherency140,0.019129239555437272,0.005577022010228564
Energy140,0.15767263035673404,0.18076651121162
MeanInt140,0.0367635776577819,0.026627566441455183
VarInt140,0.0454662573913211,0.059349590932821154
Density140,0.024666918975721805,0.018558110428941163
VarDensity140,0.015348091034906801,0.013401345460486084
OrientationRef140,0.013992606491210861,0.004784990436657882
Dist,0.03850502289219741,0.015288483333635581
