,mean,std
Angle20,0.0006137398534943439,0.0001111527701563676
Coherency20,0.0021777865769154305,0.00017984732429922621
Energy20,0.022179226435809295,0.0004057434797698149
MeanInt20,0.00029517107323482337,0.00017144678035469486
VarInt20,0.012596965497381263,0.0003799035016770002
Density20,0.0011257896726120874,0.00016379631013249552
VarDensity20,0.0005633447922103518,0.0001488640195947041
OrientationRef20,0.0006740339446734134,6.317996191020261e-05
Angle60,0.0019267111823041306,0.00015316752775161433
Coherency60,0.0021336908982919622,0.00021232770259335513
Energy60,0.03081478015154513,0.0004146396759125982
MeanInt60,0.0004688540523028695,0.00022646509083237794
VarInt60,0.004927017152319091,0.0002674192079091695
Density60,0.00212019222116232,0.0003053129030599101
VarDensity60,0.0009296088983279605,0.00022429478174853924
OrientationRef60,0.002049099188279546,0.00016768571347684658
Angle100,0.0032333831284534044,0.0002250877146258276
Coherency100,0.003925415309299707,0.00015601470767457885
Energy100,0.0383893378448912,0.0008643225441622439
MeanInt100,0.0031397923003545604,0.00017298215179303899
VarInt100,0.003611346088083356,0.00024592632105387586
Density100,0.00262594265761954,0.0002756669454001937
VarDensity100,0.0013705656845628856,0.0002080353983192932
OrientationRef100,0.002498155180792272,0.0002458653925633959
Angle140,0.004359172801065514,0.00019137466209780149
Coherency140,0.005620849156782637,0.00021459453301112753
Energy140,0.01315401090693109,0.0005430883887064315
MeanInt140,0.011574665682763063,0.0003663823800966581
VarInt140,0.009120606180594293,0.00028195401684538127
Density140,0.007256888824895158,0.00023966055528757785
VarDensity140,0.0031676895664224823,0.00025003948794029
OrientationRef140,0.0028869170821259615,0.0001748146730489142
Dist,0.0174285919979842,0.0004372506549901466
