,mean,std
Angle20,0.008688238879153275,0.0010233665118187386
Coherency20,0.014766124247384336,0.011323640527506127
Energy20,0.0841902010480117,0.08843296866601058
MeanInt20,0.011670160417991692,0.014438113499462153
VarInt20,0.019009936371782304,0.017035502090017394
Density20,0.005079023442606634,0.003312820635316657
VarDensity20,0.004276962932988836,0.0027378656505313843
OrientationRef20,0.00793793910358097,0.0012685806980872807
Angle60,0.011059621881878179,0.0015291244046070351
Coherency60,0.01269029952837153,0.0020832635579086122
Energy60,0.11254665854603116,0.15851954682406483
MeanInt60,0.011648651731469407,0.004489107072528293
VarInt60,0.02242254209753127,0.03365108013220389
Density60,0.008297052025830778,0.005151411114826769
VarDensity60,0.011436677071903687,0.017637702191552175
OrientationRef60,0.010437257307332058,0.001187773841782323
Angle100,0.013079327066754872,0.003268642861848492
Coherency100,0.014495870209160353,0.0049175409541848385
Energy100,0.19018918300064683,0.1956744124897595
MeanInt100,0.024290563611360387,0.02036622797096039
VarInt100,0.017843951837240055,0.0067391120602402
Density100,0.01490196943246239,0.01930037031220504
VarDensity100,0.011385082839719465,0.006779559647180962
OrientationRef100,0.012526414024433965,0.0023028247466147424
Angle140,0.014667640695116843,0.00243394357444199
Coherency140,0.023774749779728665,0.008272252433123042
Energy140,0.14753775197696228,0.1718405670745644
MeanInt140,0.03232530887967198,0.020609925624651155
VarInt140,0.036451156662740465,0.05358297075345535
Density140,0.01866049044546864,0.008038352779553927
VarDensity140,0.014823357414174862,0.009316608263917982
OrientationRef140,0.013710368854054189,0.001989832914090006
Dist,0.04317946663645602,0.031320532611809636
