,mean,std
Angle20,0.0008101165777514741,0.0002463179711723872
Coherency20,0.0013418117152557475,0.00023616646655127857
Energy20,0.02353828743870242,0.00021374072019890626
MeanInt20,0.0008622083310880435,0.00021268897796864334
VarInt20,0.012467891721003798,0.0002853409001107199
Density20,0.0008622083310880435,0.000155975594805843
VarDensity20,0.0006700077239496949,0.0002457409290246395
OrientationRef20,0.0002380054247274499,0.00015834939839224987
Angle60,0.001760342009304716,0.0003036170090740326
Coherency60,0.001560956332740593,0.00020456165216473107
Energy60,0.032710926694329234,0.00047503461077596306
MeanInt60,0.0005864812918755291,0.0002304566216188463
VarInt60,0.0030087478220258814,0.00016066303658995092
Density60,0.0006008514307269897,0.0002467645776096268
VarDensity60,0.00013561818541076853,0.00020228753977723034
OrientationRef60,0.0015097627130822744,0.00021007306415348444
Angle100,0.0022228808535862954,0.00021121423287455402
Coherency100,0.002525551903145307,0.00022225134048930764
Energy100,0.03656841084226982,0.0007076495504885974
MeanInt100,0.005166963050780548,0.0001533180218797489
VarInt100,0.0016687323741266136,0.0002993575343499766
Density100,0.001691185716082033,0.00020735220612396358
VarDensity100,0.0017738140144779701,0.0002455783916219083
OrientationRef100,0.0028901941765012928,0.0002390723209183042
Angle140,0.0030931723877782426,0.00019480186145436762
Coherency140,0.005289109231017985,0.0003354369976843176
Energy140,0.0153410213576189,0.000262201202009635
MeanInt140,0.0112329579134559,0.00030781361745985515
VarInt140,0.006445007274882853,0.0003058722114743262
Density140,0.006489015825115463,0.0003102723651657821
VarDensity140,0.003997593001742417,0.0003927720436026038
OrientationRef140,0.0029252213899517376,0.00020975027073493092
Dist,0.019273050600851493,0.0005236273395541134
