,mean,std
Coherency20,0.014394149834181639,0.0035676878849584598
Energy20,0.07173736444645532,0.07551696464324671
MeanInt20,0.009363468973405628,0.0020962189686427406
VarInt20,0.018086899408619524,0.004219438239632806
Density20,0.0049029269763969,0.0025924039707127342
VarDensity20,0.003566964753851159,0.0005365696738115933
OrientationRef20,0.009405282653196899,0.0011009610507989674
Coherency60,0.01424618725394794,0.0027549918841013763
Energy60,0.14862558067943618,0.17125138261835413
MeanInt60,0.016334543729705196,0.016418521593689662
VarInt60,0.02157929490398403,0.03191871859360729
Density60,0.012115904179602024,0.012520329929117547
VarDensity60,0.006689565689970476,0.005029590068549068
OrientationRef60,0.013771730350875675,0.001905771595026784
Coherency100,0.0170850124979162,0.004853697384636515
Energy100,0.23832765070163686,0.20518542097470252
MeanInt100,0.03082666710196848,0.02596185869354739
VarInt100,0.04057450020896511,0.060824383238558224
Density100,0.01654084480750824,0.01049844399257812
VarDensity100,0.016143647170056705,0.018633256517457054
OrientationRef100,0.013769484986906133,0.001700881986871165
Coherency140,0.022745391684318474,0.007383523571208117
Energy140,0.09250486600138451,0.1255629755368608
MeanInt140,0.03372148405941197,0.026649865512619268
VarInt140,0.05185147291624953,0.06527183569912333
Density140,0.029670612632642337,0.022807978761574935
VarDensity140,0.01642179083595857,0.013100200132392669
OrientationRef140,0.014996710561448467,0.0017362485307053806
