,mean,std
Coherency20,0.0010041134522462802,0.0002944947325164808
Energy20,0.030132384904169186,0.0003037763741497268
MeanInt20,0.0004760108494548776,0.00011253582732608899
VarInt20,0.014640477088609915,0.00022216603267918205
Density20,0.0008173016471772043,0.00015368324360048353
VarDensity20,-0.00014010885380174586,0.00012523732653303864
OrientationRef20,0.000458946309568764,0.00017752402230994122
Coherency60,0.0004329004329004738,0.00027045010772690236
Energy60,0.029915036554040753,0.0007107728017626908
MeanInt60,3.23328124158695e-05,0.0002012380694465013
VarInt60,0.0030805985162832062,0.00030006268492194514
Density60,0.0009340590253453795,0.00019241872146745482
VarDensity60,0.0002838102423165179,0.0002852956653450168
OrientationRef60,0.0015600581990623864,0.00025170346554645895
Coherency100,0.0014747354996318073,0.00016314419650674718
Energy100,0.04854053277289797,0.0006731953780708131
MeanInt100,0.004358642740385521,0.00019124343208867163
VarInt100,0.0018097393616066325,0.00036109553608776134
Density100,0.002380952380952428,0.0002026062975471377
VarDensity100,0.0017774065491908298,0.00029056949550155137
OrientationRef100,0.001909432199888661,0.00023338345372995453
Coherency140,0.004247274164286674,0.0002580458566548218
Energy140,0.007312604408040146,0.0005686087083114416
MeanInt140,0.007098848592624574,0.00019682041674570552
VarInt140,0.008455030446731748,0.0003569604028962969
Density140,0.004867884535934374,0.00034020184601838923
VarDensity140,0.0020621149251855097,0.00044211901773713537
OrientationRef140,0.002082771999784516,0.00020682246055060642
