,mean,std
Coherency20,0.01961324270171619,0.006338697933679727
Energy20,0.042791187338750855,0.005429359445594671
MeanInt20,0.009551312605610244,0.001483883887329767
VarInt20,0.025692488521206307,0.0212580827903564
Density20,0.005931858337564853,0.002012055099625011
VarDensity20,0.0036594754971502434,0.0005454551603791269
OrientationRef20,0.009918911109028984,0.001077203031777214
Coherency60,0.01335180105867785,0.0017017040257377796
Energy60,0.22536515154774855,0.20194306984132926
MeanInt60,0.01189757511557604,0.0035426892019084833
VarInt60,0.014615439748643183,0.003189163350527354
Density60,0.007763003042680565,0.003939733853629495
VarDensity60,0.007806977177738119,0.0046124231097024165
OrientationRef60,0.013187019604254798,0.001298924302895837
Coherency100,0.01591802552234896,0.0011728567915239333
Energy100,0.1339127235721206,0.15473021922927319
MeanInt100,0.021211474056179073,0.004631525169091918
VarInt100,0.03713512504778527,0.052772820080363624
Density100,0.01671782494227277,0.008034501172827412
VarDensity100,0.011624857969481971,0.008129412551252203
OrientationRef100,0.01480301723502664,0.0017168879650620022
Coherency140,0.01893870335333334,0.002091359762387251
Energy140,0.12951613698024436,0.14549562811677538
MeanInt140,0.040336168729845585,0.012420170497659344
VarInt140,0.08603997478307078,0.0817202767503893
Density140,0.03302910926161731,0.0138945720157598
VarDensity140,0.014194769770782439,0.004837276920564827
OrientationRef140,0.015476645369543981,0.0017368130271449126
