,mean,std
Coherency20,0.0044170214294695365,0.00022061205464739834
Energy20,0.03234628442097319,0.00026437034324311155
MeanInt20,0.0015852059420524034,0.00018814775178491454
VarInt20,0.017931238885595734,0.00044195569523454296
Density20,0.0018833863232203263,0.0001461531474742221
VarDensity20,0.0005846850245190272,0.00010235966132304125
OrientationRef20,0.0006161197032566012,0.0001673134094547568
Coherency60,0.001930089274487601,0.0002968314822083928
Energy60,0.07241651847460974,0.0010921394158367997
MeanInt60,0.0015798171399830862,0.0001267259936456622
VarInt60,0.006138743690610881,0.0002618872179738895
Density60,0.0026063839341847416,0.0001858854669861859
VarDensity60,0.0037146808931041164,0.00020544304830028993
OrientationRef60,0.002479747085556194,0.0002738777621164849
Coherency100,0.003931131109554342,0.0003042022653579355
Energy100,0.0500287402777029,0.0009535629535470212
MeanInt100,0.0058836737259973515,0.0002137275110097333
VarInt100,0.007563183704262533,0.0005063506905253178
Density100,0.007044062438253285,0.0002729809315075673
VarDensity100,0.003177596953530537,0.00031669370266609577
OrientationRef100,0.003326687144114493,0.0003215569433558236
Coherency140,0.004847227461335313,0.0002640283888281739
Energy140,0.026200355660936547,0.0006696223547087086
MeanInt140,0.02045499452138454,0.00045697708788332026
VarInt140,0.021558800811912814,0.00040748355664110424
Density140,0.013389376874854031,0.00024138919506207294
VarDensity140,0.004637064180632644,0.000268361681773872
OrientationRef140,0.0030222198271990575,0.00031838173836214206
