,mean,std
Coherency20,0.01636542432729749,0.00972143340508688
Energy20,0.07813162722733581,0.07399740901854676
MeanInt20,0.010635431709547777,0.002837595244263628
VarInt20,0.019329098446502997,0.00813772088100716
Density20,0.005916022486170484,0.0038242359457062135
VarDensity20,0.0045589437976580474,0.002674481492190321
OrientationRef20,0.009187160409857191,0.0009855157212144956
Coherency60,0.013404041375606104,0.0016375676964069626
Energy60,0.1624161924276994,0.17982536169983784
MeanInt60,0.01915535575509254,0.021003119921407562
VarInt60,0.03387230375251625,0.04775929451934483
Density60,0.008865491847832573,0.004560949811983746
VarDensity60,0.005226336042216609,0.0010889284274131158
OrientationRef60,0.013660035195650663,0.002313893943095097
Coherency100,0.016936443476912963,0.004814626657399518
Energy100,0.19204321538477187,0.19351110441508834
MeanInt100,0.030680262122123055,0.029670335001458846
VarInt100,0.03877195892071279,0.05070062413059779
Density100,0.013182537514581474,0.008244183911609242
VarDensity100,0.013269314389927483,0.01343437121746336
OrientationRef100,0.013546090316419604,0.0017616740146444076
Coherency140,0.024291524229264838,0.009293595327898333
Energy140,0.11925287811647123,0.14048353971966984
MeanInt140,0.046678931864164636,0.03339077027778426
VarInt140,0.026706825870776392,0.011119869153731855
Density140,0.0226644937623206,0.009847684181069833
VarDensity140,0.025608784844931905,0.0231132775074539
OrientationRef140,0.015643274385637274,0.0022653698966530874
