,mean,std
Coherency20,0.0013534673601986902,0.000245073595995059
Energy20,0.02924443404546353,0.00032596316293528497
MeanInt20,0.0002609744245063994,0.00015425023927622544
VarInt20,0.013031622900955686,0.00031927090373955484
Density20,0.0013795648026493467,0.00020521343897186866
VarDensity20,0.0004796529940065852,9.160112078688423e-05
OrientationRef20,0.0005093500836917952,0.00013702320916234376
Coherency60,0.0011662857040010022,0.0002589245047188454
Energy60,0.03858731844279258,0.0008012697706252451
MeanInt60,-0.0001358866831050576,0.0001816596312878235
VarInt60,0.0039812098414355405,0.0004384925907081822
Density60,0.0006362376487104137,0.0001542528643430477
VarDensity60,-0.00019618077428413817,0.0002548451097321396
OrientationRef60,0.0018745162974028618,0.0002652237206105637
Coherency100,0.0020742967189215423,0.00019770429579261123
Energy100,0.02769748564640665,0.0007303137795955835
MeanInt100,0.003974010546966378,0.0002477684546624665
VarInt100,0.0033494717517683183,0.00034429830781151487
Density100,0.0015532477817173818,0.00018946082485847129
VarDensity100,0.0014722557189395303,0.00023762443528548957
OrientationRef100,0.0018223214125015707,0.0002725782212588441
Coherency140,0.004551753928115021,0.0003148354034525284
Energy140,0.011060816040028088,0.0004171253835313568
MeanInt140,0.013772250319468693,0.0003853514414273098
VarInt140,0.004316876946059289,0.0003749955290489504
Density140,0.007412573567790348,0.0003048310948644803
VarDensity140,0.004367272007343293,0.0003154328889868093
OrientationRef140,0.0029211137308543743,0.00018670513474186814
