,mean,std
Angle20,0.004980917255140409,0.0022961942540806347
Coherency20,0.03271590274895715,0.033614288977304674
Energy20,0.06107584497951326,0.02887827472907619
MeanInt20,0.012370557142543403,0.010327795015023178
VarInt20,0.039890771662966604,0.02859572399854431
Density20,0.008689361151447594,0.01065897472695055
VarDensity20,0.003474036323266232,0.005334548456062583
OrientationRef20,0.003525568814244423,0.0011457157540112662
Angle60,0.007848513344495456,0.0025862799144354093
Coherency60,0.012133537816791254,0.0056099977301102
Energy60,0.09856536075744377,0.07326240019269274
MeanInt60,0.01971970014800875,0.01642869131892391
VarInt60,0.03860981970434344,0.04295380511852781
Density60,0.016402737685749454,0.01715568697194301
VarDensity60,0.013344993522050708,0.016063219085532023
OrientationRef60,0.006155273010307006,0.0019170350345491095
Angle100,0.011655184107224515,0.003908127163104084
Coherency100,0.014098429278233978,0.014525692416216669
Energy100,0.10665046153055362,0.08990803430222187
MeanInt100,0.0387540703751509,0.022083988876795784
VarInt100,0.041452953511681635,0.0400980870922364
Density100,0.02787159388004725,0.01919567238034135
VarDensity100,0.014811350837492049,0.01526447880322333
OrientationRef100,0.008603187852009728,0.004706390898692021
Angle140,0.013504113625692062,0.004840533616592358
Coherency140,0.014055026702566222,0.004047946176231251
Energy140,0.08173745243511113,0.06685050242215003
MeanInt140,0.03476741123037916,0.019680565176418
VarInt140,0.09188880996840965,0.07421412941645956
Density140,0.03966067209646189,0.03283750294662533
VarDensity140,0.017714428530804054,0.013581834671749504
OrientationRef140,0.008523951042957143,0.0026475548770649123
Dist,0.054748006927956214,0.017737938547400484
