,mean,std
Angle20,0.0005658242172765004,0.000235098392173236
Coherency20,-0.0029809056780011334,0.0004536677600160385
Energy20,0.005408561010220758,0.00043158664241034353
MeanInt20,-0.001772915880799697,0.00015093990881101562
VarInt20,0.0006466562483159799,0.0004994786166281032
Density20,-0.0038529934795495046,0.00012599506325914513
VarDensity20,-0.0008047277756821458,6.0675560899033916e-05
OrientationRef20,3.951788184149985e-05,0.00014036194496659015
Angle60,0.0010813529485728447,0.0002544493709153232
Coherency60,0.00039158628370244974,0.0002800161307497432
Energy60,-0.013374108602324398,0.0008355486813351956
MeanInt60,-0.003631154461029995,0.0002985548193050076
VarInt60,-0.00786405848646513,0.0003891562548018945
Density60,-0.002389933717734549,0.00023102994116362238
VarDensity60,-0.0015573637980277112,0.0003701400561824739
OrientationRef60,-0.00012124804655925248,0.00015489876975594653
Angle100,0.0027581685258033727,0.0002887314695332231
Coherency100,0.0016435846311364743,0.00040696457760154483
Energy100,-0.02445797632519625,0.0006715469894640816
MeanInt100,-0.009618113560022267,0.0002973473618338015
VarInt100,-0.011083867722871876,0.0004248172297964762
Density100,-0.0088969122164143,0.00046760258488621115
VarDensity100,-0.0026126708699322986,0.0003606753221381105
OrientationRef100,-9.340590253454905e-05,0.00020544304830031885
Angle140,0.0034820642704459725,0.00023592212659359637
Coherency140,0.00047690898313302866,0.0003276021846478375
Energy140,-0.018265344613892343,0.00037472845136071774
MeanInt140,-0.005932172944621073,0.0003123710998699161
VarInt140,-0.008653517989617587,0.0007131458531584071
Density140,-0.009553447935190695,0.00046832396747048424
VarDensity140,-0.0014891056384832458,0.00038411991996977233
OrientationRef140,0.0007247938783208396,0.0001255493227191077
Dist,0.013857304521204917,0.0006168086291407582
