,mean,std
Angle20,0.01446224997186175,0.0017339953117137164
Coherency20,0.028465602801445646,0.017588195303253944
Energy20,0.055111734665217196,0.017140302479785305
MeanInt20,0.02020290517652824,0.006063784060607757
VarInt20,0.04404233542942368,0.016542298048828338
Density20,0.008083608403328441,0.004006798978177649
VarDensity20,0.0073495845779697165,0.004084207934557811
OrientationRef20,0.01328342582531943,0.0013788147567880635
Angle60,0.017461611495693554,0.0021978959621683255
Coherency60,0.019148968135663278,0.002838460038338702
Energy60,0.06668178390892023,0.04087529451425008
MeanInt60,0.022998201151557818,0.009763058075581728
VarInt60,0.03349867138529728,0.024537161302693886
Density60,0.014399750459589659,0.008559877828105363
VarDensity60,0.012928786780419985,0.006974116007251855
OrientationRef60,0.01760839153613267,0.0025867905060614595
Angle100,0.01944071277084353,0.0029566440466947596
Coherency100,0.020428424025100804,0.0023910032732171165
Energy100,0.08334507548481217,0.060832215119394406
MeanInt100,0.027210833699214294,0.009354552876741473
VarInt100,0.045117291719245625,0.03267862119878308
Density100,0.023623513963300976,0.01432054274760861
VarDensity100,0.01670398086829238,0.011175805161518993
OrientationRef100,0.01879725798608107,0.0024597753736427795
Angle140,0.024482954304765173,0.0029315930852197277
Coherency140,0.025142918841988195,0.00570371899564402
Energy140,0.07049890599748102,0.04725653009643819
MeanInt140,0.035318677217289464,0.011112964609315776
VarInt140,0.06525219034225602,0.036762894134332855
Density140,0.027762606753634303,0.013101072454963652
VarDensity140,0.022821144141677394,0.011933858213207813
OrientationRef140,0.021718568735803013,0.0021583680432221957
Dist,0.05660733144384598,0.01052747430171803
