,mean,std
Angle20,0.0007226291823401399,0.00023649196072413007
Coherency20,-0.001852018502186792,0.0003325974702346043
Energy20,0.005005309479671016,0.0004005325391295173
MeanInt20,-0.0025539497129281052,0.0001990738357056008
VarInt20,0.004179190439336955,0.0003462544439990871
Density20,-0.0007721243318154714,0.0002620829956158832
VarDensity20,-0.000800921509692043,0.00016950860751924535
OrientationRef20,0.0002231781285434109,0.0001358121666630539
Angle60,0.0006956318280808449,0.00018217602699783863
Coherency60,-0.0019591080074152665,0.0003352228863630581
Energy60,-0.004109897230071447,0.0005069635422524492
MeanInt60,-0.00255124997750219,0.00037831097956948437
VarInt60,-0.008361980525908442,0.0003997837319935229
Density60,-0.002276776875866171,0.00022443735557929034
VarDensity60,-0.002517053328773755,0.0003669621439720469
OrientationRef60,0.000921509692050182,0.00030475536983664404
Angle100,0.002547650330267637,0.00025936982072698135
Coherency100,0.0008981119850254516,0.00041138471999652214
Energy100,-0.009304188189557416,0.0006040339183596519
MeanInt100,-0.0029391119670272416,0.00014528490178801278
VarInt100,-0.00882633501916812,0.0006279398631657373
Density100,-0.0021111931030758924,0.0002726658529027387
VarDensity100,-0.0010294991090873174,0.00038174084964737366
OrientationRef100,0.0014047623332913428,0.00030401706126981074
Angle140,0.004767732762189314,0.00039695802505379784
Coherency140,0.002692536131459111,0.00044535725305745207
Energy140,0.0029202138190457362,0.0005518044648196359
MeanInt140,-0.0005948417055128497,0.0002621648683137159
VarInt140,0.0031568906247187887,0.0006814869979186088
Density140,-0.0028068249311567484,0.0003435836886626523
VarDensity140,-0.0031514911538669367,0.0003686080951325416
OrientationRef140,0.002698835514119635,0.00040946382856964957
Dist,0.020752866219110534,0.0009455281343339439
