,mean,std
Coherency20,0.047131425665312435,0.033648746189992286
Energy20,0.07091168671108201,0.015099838846046244
MeanInt20,0.021147976261110667,0.005999464169894653
VarInt20,0.04635860251692771,0.01651896794516955
Density20,0.01044853355364212,0.006166629434549121
VarDensity20,0.009191821335169706,0.008041244415382414
OrientationRef20,0.01670315165059016,0.002369930553539281
Coherency60,0.027692013404105827,0.011145773621915898
Energy60,0.05966747644773449,0.03810812700037354
MeanInt60,0.027725804652738033,0.01187047809891325
VarInt60,0.03597869588103629,0.018421158004612363
Density60,0.02129528253220303,0.010858016324349429
VarDensity60,0.01313696341754926,0.0073372706970128935
OrientationRef60,0.020168410932037875,0.0013263063691199013
Coherency100,0.022388206651544926,0.0024539741799042654
Energy100,0.08575313876620025,0.05400265017264362
MeanInt100,0.03354719059301757,0.013112211806195274
VarInt100,0.05554496197127505,0.03745256681924516
Density100,0.028436409193706085,0.013765623143416653
VarDensity100,0.015792932776869002,0.00706018919168321
OrientationRef100,0.022506061024579842,0.0023122817843459456
Coherency140,0.027264190372743597,0.004616667305424026
Energy140,0.10294933837149078,0.062447439840258266
MeanInt140,0.046455643413134226,0.014878337856648742
VarInt140,0.05675824484076473,0.025590872604748315
Density140,0.030892539918197938,0.013853399754964225
VarDensity140,0.01872353279909337,0.003984000401434353
OrientationRef140,0.025429764346142962,0.003186358785731332
