,mean,std
Coherency20,0.039181667413540115,0.01730158941981399
Energy20,0.06245256868577119,0.007589678602523987
MeanInt20,0.02694248208238923,0.004646579474924827
VarInt20,0.04552176788670622,0.010398630050921537
Density20,0.011709417873773349,0.005082163781007379
VarDensity20,0.010905394913277475,0.0029088981876760935
OrientationRef20,0.025486424248232237,0.0013519267383553285
Coherency60,0.030144101218943876,0.005149272529060495
Energy60,0.07224753107882165,0.028332135993643096
MeanInt60,0.029022315097728464,0.0067603182172928725
VarInt60,0.04390106002766081,0.02224632168379552
Density60,0.015458435509392878,0.0030528092035361637
VarDensity60,0.014733065955735406,0.004618217821588043
OrientationRef60,0.02809466975474801,0.0012761734527482161
Coherency100,0.03015396766927956,0.0027402056952147993
Energy100,0.053486187866704914,0.025562706040121858
MeanInt100,0.03926775486076024,0.007301727757455904
VarInt100,0.04355275137790947,0.019221293538172767
Density100,0.023253025536405833,0.010101384531876175
VarDensity100,0.017761497989988523,0.006214949105931105
OrientationRef100,0.02998681826405687,0.001505240293565155
Coherency140,0.03323390082319593,0.0027304724946020324
Energy140,0.0759105798156445,0.03598091039719093
MeanInt140,0.044624009561493,0.011923496560158989
VarInt140,0.06032346748683605,0.028113137898593897
Density140,0.03577343797084322,0.009853195005489127
VarDensity140,0.0245590911009609,0.00605342782909174
OrientationRef140,0.032312607929200064,0.0016841720746086255
