,mean,std
Coherency20,0.004262882237540766,0.0003748659305072733
Energy20,0.014438185057864383,0.00047501706512013796
MeanInt20,0.00031766886845090435,0.00030245740021951016
VarInt20,0.0074881661597163696,0.0003290885326238085
Density20,-0.00036536419430893696,0.00014098490687760652
VarDensity20,-0.0001772826263025884,0.00017510396931856012
OrientationRef20,0.0011311891434639732,0.0001735710368618859
Coherency60,0.002427962059718192,0.000445211756638045
Energy60,0.015722359208797575,0.0005717585267654972
MeanInt60,-0.0002330771584384328,0.00045910410123071446
VarInt60,0.005312179406418194,0.0005110683066792215
Density60,-0.00040136066665464877,0.0003104421841532992
VarDensity60,-0.000758625654685785,0.0002516553131448505
OrientationRef60,0.0022470797861809944,0.00023449740216405888
Coherency100,0.003220784363132434,0.0002213289140122735
Energy100,0.006709742445240396,0.0006884201817701865
MeanInt100,0.005625348715825862,0.0004888012459889709
VarInt100,0.01231169345404155,0.0007558128861711568
Density100,9.17910044816006e-05,0.000285281979101526
VarDensity100,-0.001276074944655381,0.0003224850006936592
OrientationRef100,0.002429761883335457,0.00032526552636583935
Coherency140,0.005117798455751355,0.00042509856426686365
Energy140,0.02165007829232738,0.00043769031276622223
MeanInt140,0.007833732294235196,0.0004114723122143834
VarInt140,0.02140440236856791,0.0006283324478983866
Density140,0.002183186047767338,0.0006008581151650198
VarDensity140,0.0014452583646803018,0.00041038741268236784
OrientationRef140,0.00439156962617665,0.00045480727289802384
